title,doi,year,itemtype,isbn,topics,Authorinfo ->,ut_authors,ut_groups,is_eemcs?,is_ee?,is_tcs?,ut_corresponding_author,all_authors,Openaccessinfo ->,is_openaccess,openaccess_type,found_as_green,present_in_pure,license,URLs ->,primary_link,pdf_link_primary,best_oa_link,pdf_link_best_oa,other_oa_links,openalex_url,pure_page_link,pure_file_link,scopus_link,Journalinfo ->,journal,journal_issn,journal_e_issn,journal_publisher,volume,issue,pages,pagescount,MUS links ->,mus_paper_details,mus_api_url_paper,mus_api_url_pure_entry,mus_api_url_pure_report_details
Exploiting Digital Surface Models for Inferring Super-Resolution for Remotely Sensed Images,https://doi.org/10.1109/tgrs.2022.3209340,2022,journal-article,,,,Andreas Kamilaris,PS,True,False,True,,Andreas Kamilaris | Chirag Padubidri | Savvas Karatsiolis,,True,hybrid,False,False,cc-by-nc-nd,,https://doi.org/10.1109/tgrs.2022.3209340,https://ieeexplore.ieee.org/ielx7/36/4358825/09903066.pdf,https://doi.org/10.1109/tgrs.2022.3209340,https://ieeexplore.ieee.org/ielx7/36/4358825/09903066.pdf,https://arxiv.org/abs/2205.04056 | https://arxiv.org/pdf/2205.04056 | https://zenodo.org/record/7587035 | https://zenodo.org/records/7587035/files/Exploiting_Digital_Surface_Models_for_Inferring_Super-Resolution_for_Remotely_Sensed_Images.pdf,https://openalex.org/W4297310242,,,,,IEEE Transactions on Geoscience and Remote Sensing,0196-2892,1558-0644,Institute of Electrical and Electronics Engineers (IEEE),60,,1-13,13,,https://openalex.samuelmok.cc/paper/26640,https://openalex.samuelmok.cc/api/paper/26640,,
Stochastic String Stability of Vehicle Platoons via Cooperative Adaptive Cruise Control With Lossy Communication,https://doi.org/10.1109/tits.2021.3097199,2022,journal-article,,,,Geert Heijenk | Anton A. Stoorvogel,DACS,True,True,True,,Francesco Acciani | Paolo Frasca | Geert Heijenk | Anton A. Stoorvogel,,True,green,True,True,,,https://doi.org/10.1109/tits.2021.3097199,,https://hal.science/hal-03427758,https://hal.science/hal-03427758/document,https://hal.science/hal-03427758/file/main.pdf | http://arxiv.org/abs/1905.04779 | http://arxiv.org/pdf/1905.04779 | https://research.utwente.nl/en/publications/0796d09d-3216-48f2-9e14-53043d3fa970 | https://ris.utwente.nl/ws/files/265147869/1905.04779.pdf | https://hal.archives-ouvertes.fr/hal-03427758/file/main.pdf | https://hal.archives-ouvertes.fr/hal-03427758/document,https://openalex.org/W3186355328,https://research.utwente.nl/en/publications/0796d09d-3216-48f2-9e14-53043d3fa970,https://ris.utwente.nl/ws/files/265147869/1905.04779.pdf,http://www.scopus.com/inward/record.url?scp=85112621967&partnerID=8YFLogxK,,IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,Institute of Electrical and Electronics Engineers (IEEE),23,8,10912-10922,11,,https://openalex.samuelmok.cc/paper/26712,https://openalex.samuelmok.cc/api/paper/26712,https://openalex.samuelmok.cc/api/pureentry/81205,https://openalex.samuelmok.cc/api/pilotpure/9512
Guest Editors Introduction: Special Section on Recent Advances in Network Security Management,https://doi.org/10.1109/tnsm.2022.3202426,2022,journal-article,,Network Intrusion Detection and Defense Mechanisms,,Cristian Hesselman,DACS,True,True,True,,Cristian Hesselman | Rémi Badonnel | Carol Fung | Qi Li | Sandra Scott-Hayward | Fulvio Valenza,,True,bronze,False,False,,,https://doi.org/10.1109/tnsm.2022.3202426,https://ieeexplore.ieee.org/ielx7/4275028/9917435/09917437.pdf,https://doi.org/10.1109/tnsm.2022.3202426,https://ieeexplore.ieee.org/ielx7/4275028/9917435/09917437.pdf,,https://openalex.org/W4304817003,,,,,IEEE Transactions on Network and Service Management,1932-4537,2373-7379,Institute of Electrical and Electronics Engineers (IEEE),19,3,2251-2254,4,,https://openalex.samuelmok.cc/paper/26792,https://openalex.samuelmok.cc/api/paper/26792,,
Interleaved Planar Packaging Method of Multichip SiC Power Module for Thermal and Electrical Performance Improvement,https://doi.org/10.1109/tpel.2021.3106316,2022,journal-article,,,,J.A. Ferreira,SCS,True,False,True,,J.A. Ferreira | Christoph Friedrich Bayer | Lixin Jia | Binyu Wang | Laili Wang | Jianpeng Wang | Fengtao Yang | Fan Zhang | Cheng Zhao,,True,green,True,True,,,https://doi.org/10.1109/tpel.2021.3106316,,https://research.utwente.nl/en/publications/07e2816b-f356-43ab-975c-b17cfaccc3b6,https://ris.utwente.nl/ws/files/300201346/Interleaved_Planar.pdf,,https://openalex.org/W3195528145,https://research.utwente.nl/en/publications/07e2816b-f356-43ab-975c-b17cfaccc3b6,https://ris.utwente.nl/ws/files/300201346/Interleaved_Planar.pdf,,,IEEE Transactions on Power Electronics,0885-8993,1941-0107,Institute of Electrical and Electronics Engineers (IEEE),37,2,1615-1629,15,,https://openalex.samuelmok.cc/paper/26867,https://openalex.samuelmok.cc/api/paper/26867,https://openalex.samuelmok.cc/api/pureentry/82818,https://openalex.samuelmok.cc/api/pilotpure/11022
Probabilistic Preference Planning Problem for Markov Decision Processes,https://doi.org/10.1109/tse.2020.3024215,2022,journal-article,,Formal Methods in Software Verification and Control | Logic Programming and Knowledge Representation | Artificial Intelligence Planning and Reasoning,,Ernst Moritz Hahn,FMT,True,False,True,,Ernst Moritz Hahn | Meilun Li | Zhikun She | Andrea Turrini | Lijun Zhang,,True,green,True,True,,,https://doi.org/10.1109/tse.2020.3024215,,https://research.utwente.nl/en/publications/1a010458-545a-4222-a167-4e3890839e03,https://research.utwente.nl/files/251900191/Li2020probabilistic.pdf,https://ris.utwente.nl/ws/files/251900191/Li2020probabilistic.pdf,https://openalex.org/W3089165047,https://research.utwente.nl/en/publications/1a010458-545a-4222-a167-4e3890839e03,https://ris.utwente.nl/ws/files/251900191/Li2020probabilistic.pdf,,,IEEE Transactions on Software Engineering,0098-5589,1939-3520,Institute of Electrical and Electronics Engineers (IEEE),48,5,1545-1559,15,,https://openalex.samuelmok.cc/paper/26928,https://openalex.samuelmok.cc/api/paper/26928,https://openalex.samuelmok.cc/api/pureentry/82047,https://openalex.samuelmok.cc/api/pilotpure/9663
Minimizing the Maximum Processor Temperature by Temperature-Aware Scheduling of Real-Time Tasks,https://doi.org/10.1109/tvlsi.2022.3160601,2022,journal-article,,Parallel Computing and Performance Optimization | Reconfigurable Computing Systems and Design Methods | Real-Time Scheduling in Embedded Systems | Fault Tolerance in Electronic Systems | Energy Consumption in Mobile Devices and Networks,,Maurits de Graaf | Marco E. T. Gerards | Baver Özceylan,CAES,True,True,True,,Maurits de Graaf | Marco E. T. Gerards | Boudewijn R. Haverkort | Baver Özceylan,,True,green,True,True,,,https://doi.org/10.1109/tvlsi.2022.3160601,,https://research.utwente.nl/en/publications/967a7fc7-0410-4648-aee6-b4c5b6432d60,https://ris.utwente.nl/ws/files/278733531/Final_Version.pdf,,https://openalex.org/W4225881012,https://research.utwente.nl/en/publications/967a7fc7-0410-4648-aee6-b4c5b6432d60,https://ris.utwente.nl/ws/files/278733531/Final_Version.pdf,,,IEEE Transactions on Very Large Scale Integration Systems,1063-8210,1557-9999,,30,8,1084-1097,14,,https://openalex.samuelmok.cc/paper/26967,https://openalex.samuelmok.cc/api/paper/26967,https://openalex.samuelmok.cc/api/pureentry/81217,https://openalex.samuelmok.cc/api/pilotpure/9239
Processor Security: Detecting Microarchitectural Attacks via Count-Min Sketches,https://doi.org/10.1109/tvlsi.2022.3171810,2022,journal-article,,Language-based Information Flow Security | Hardware Security and Authentication Techniques | Characterization and Detection of Android Malware | Memristive Devices for Neuromorphic Computing | Parallel Computing and Performance Optimization,,Marco Ottavi,CAES,True,True,True,,Marco Ottavi | Kerem Arikan | Giuseppe Bianchi | Luca Cassano | Oğuz Ergin | Alessandro Palumbo | Salvatore Pontarelli | Pedro Reviriego,,True,green,True,True,,,https://doi.org/10.1109/tvlsi.2022.3171810,,https://hdl.handle.net/2108/303089,https://art.torvergata.it/bitstream/2108/303089/2/Processor_Security_Detecting_Microarchitectural_Attacks_via_Count-Min_Sketches%20%282%29.pdf,https://research.utwente.nl/en/publications/8d1cde19-28f4-4662-9263-c19f349f0752 | https://ris.utwente.nl/ws/files/280848231/10.1109_tvlsi.2022.3171810.pdf,https://openalex.org/W4285308893,https://research.utwente.nl/en/publications/8d1cde19-28f4-4662-9263-c19f349f0752,https://ris.utwente.nl/ws/files/280848231/10.1109_tvlsi.2022.3171810.pdf,,,IEEE Transactions on Very Large Scale Integration Systems,1063-8210,1557-9999,,30,7,938-951,14,,https://openalex.samuelmok.cc/paper/26968,https://openalex.samuelmok.cc/api/paper/26968,https://openalex.samuelmok.cc/api/pureentry/81484,https://openalex.samuelmok.cc/api/pilotpure/9217
Modelling the packet delivery of V2V messages based on the macroscopic traffic parameters,https://doi.org/10.1109/vtc2022-spring54318.2022.9860488,2022,proceedings-article,,Vehicular Ad Hoc Networks and Communications | Ad Hoc Wireless Networks Research | Next Generation 5G Wireless Networks,,Geert Heijenk,DACS,True,True,True,,Aashik Chandramohan | Geert Heijenk,,False,closed,False,True,,,https://doi.org/10.1109/vtc2022-spring54318.2022.9860488,,,,,https://openalex.org/W4293095135,https://research.utwente.nl/en/publications/e623626a-c760-4067-9296-5c7dfaeaa465,https://ris.utwente.nl/ws/files/280772289/Chandramohan2022modelling.pdf,,,,,,,,,,,,https://openalex.samuelmok.cc/paper/27079,https://openalex.samuelmok.cc/api/paper/27079,https://openalex.samuelmok.cc/api/pureentry/81617,https://openalex.samuelmok.cc/api/pilotpure/9221
Federated Lab (FedLab): An Open-source Distributed Platform for Internet of Things (IoT) Research and Experimentation,https://doi.org/10.1109/wf-iot54382.2022.10152136,2022,proceedings-article,,Internet of Things and Edge Computing | Scalable Peer-to-Peer Network Architectures | Security Challenges in Smart Grid Systems,,Andrea Continella | Thijs van Ede,SCS,True,False,True,,Andrea Continella | Thijs van Ede | Luca Morgese Zangrandi | Luca Allodi | Ganduulga Gankhuyag | Maarten Meijer | G. Petrucci | Matthijs Schotsman | Savio Sciancalepore,,True,green,True,True,,,https://doi.org/10.1109/wf-iot54382.2022.10152136,,https://research.utwente.nl/en/publications/4bcfadfc-b092-4191-898a-2e280c499ed6,https://ris.utwente.nl/ws/files/288388813/fedlab_paper.pdf,,https://openalex.org/W4381786738,https://research.utwente.nl/en/publications/4bcfadfc-b092-4191-898a-2e280c499ed6,https://ris.utwente.nl/ws/files/288388813/fedlab_paper.pdf,,,,,,,,,,,,https://openalex.samuelmok.cc/paper/27118,https://openalex.samuelmok.cc/api/paper/27118,https://openalex.samuelmok.cc/api/pureentry/80562,
Optimal Geocast Scheduling under Multicasts and Relaying in mmWave Vehicular Networks,https://doi.org/10.1109/wowmom54355.2022.00043,2022,proceedings-article,978-1-6654-0876-9,Millimeter Wave Communications for 5G and Beyond | Next Generation 5G Wireless Networks | Vehicular Ad Hoc Networks and Communications,,Suzan Bayhan | Geert Heijenk,DACS,True,True,True,,Suzan Bayhan | Geert Heijenk | Thijs Havinga,,False,closed,False,True,,,https://doi.org/10.1109/wowmom54355.2022.00043,,,,,https://openalex.org/W4292070932,https://research.utwente.nl/en/publications/eaf4526b-07cd-4108-bcc8-a09ff8a594f1,https://ris.utwente.nl/ws/files/278805524/2022_wowmom.pdf,,,,,,,,,,,,https://openalex.samuelmok.cc/paper/27159,https://openalex.samuelmok.cc/api/paper/27159,https://openalex.samuelmok.cc/api/pureentry/77384,https://openalex.samuelmok.cc/api/pilotpure/9238
Empathy in preschool Portuguese children: Validation of the Empathy Questionnaire (EmQue),https://doi.org/10.1111/sode.12588,2022,journal-article,,Emotion Regulation and Psychopathology in Children and Adolescents | Factors Affecting Student Engagement in Education | Bullying Behaviors and Psychological Impact,,Carolien Rieffe,HMI,True,False,True,,Carolien Rieffe | Brenda M. S. da Silva | Guida Veiga,,True,hybrid,True,True,cc-by,,https://doi.org/10.1111/sode.12588,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sode.12588,https://doi.org/10.1111/sode.12588,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sode.12588,https://research.utwente.nl/en/publications/95e3b68d-6a82-456d-b1b0-301874d88368 | https://ris.utwente.nl/ws/files/294865412/Da_silva_2022_Empathy_in_preschool_portuguese_chi.pdf | https://discovery.ucl.ac.uk/id/eprint/10145092/1/Social%20Development%20-%202022%20-%20da%20Silva%20-%20Empathy%20in%20preschool%20Portuguese%20children%20%20Validation%20of%20the%20Empathy%20Questionnaire%20.pdf | http://hdl.handle.net/10174/33600 | http://dspace.uevora.pt/rdpc/bitstream/10174/33600/1/Social%20Development%20-%202022%20-%20da%20Silva%20-%20Empathy%20in%20preschool%20Portuguese%20children%20%20Validation%20of%20the%20Empathy%20Questionnaire%20.pdf | http://hdl.handle.net/1887/3443828 | https://scholarlypublications.universiteitleiden.nl/access/item%3A3443829/view | https://discovery.ucl.ac.uk/id/eprint/10145092/ | https://discovery.ucl.ac.uk/10145092/1/Social%20Development%20-%202022%20-%20da%20Silva%20-%20Empathy%20in%20preschool%20Portuguese%20children%20%20Validation%20of%20the%20Empathy%20Questionnaire%20.pdf,https://openalex.org/W4213168467,https://research.utwente.nl/en/publications/95e3b68d-6a82-456d-b1b0-301874d88368,https://ris.utwente.nl/ws/files/294865412/Da_silva_2022_Empathy_in_preschool_portuguese_chi.pdf,http://www.scopus.com/inward/record.url?scp=85125809428&partnerID=8YFLogxK,,Social Development,0961-205X,1467-9507,,31,4,933-944,12,,https://openalex.samuelmok.cc/paper/27768,https://openalex.samuelmok.cc/api/paper/27768,https://openalex.samuelmok.cc/api/pureentry/80278,https://openalex.samuelmok.cc/api/pilotpure/9006
Moral emotions in early childhood: Validation of the Chinese moral emotion questionnaire,https://doi.org/10.1111/sode.12645,2022,journal-article,,Moral Emotions and Behavioral Impact | Emotion Regulation and Psychopathology in Children and Adolescents | Infant Crying and Colic Studies,,Carolien Rieffe,HMI,True,False,True,Carolien Rieffe,Carolien Rieffe | Zijian Li | Boya Li | Paul Oosterveld | Yung‐Ting Tsou,,True,green,True,True,,,https://doi.org/10.1111/sode.12645,,https://research.utwente.nl/en/publications/2e8c3deb-86bd-4918-a2ba-9a28c833132b,https://ris.utwente.nl/ws/files/294865728/Li_2022_Moral_emotions_in_early_childhood_v.pdf,http://hdl.handle.net/1887/3514167 | https://scholarlypublications.universiteitleiden.nl/access/item%3A3514168/view | https://discovery.ucl.ac.uk/id/eprint/10161498/1/Li_etal_2022_SocDev_ChineseMEQ.pdf,https://openalex.org/W4306893452,https://research.utwente.nl/en/publications/2e8c3deb-86bd-4918-a2ba-9a28c833132b,https://ris.utwente.nl/ws/files/349410786/Social_Development_-_2022_-_Li_-_Moral_emotions_in_early_childhood_Validation_of_the_Chinese_moral_emotion_questionnaire.pdf,http://www.scopus.com/inward/record.url?scp=85140239622&partnerID=8YFLogxK,,Social Development,0961-205X,1467-9507,,32,2,527-545,19,,https://openalex.samuelmok.cc/paper/27769,https://openalex.samuelmok.cc/api/paper/27769,https://openalex.samuelmok.cc/api/pureentry/78222,https://openalex.samuelmok.cc/api/pilotpure/9007
Dynamic Detection of Mobile Malware Using Smartphone Data and Machine Learning,https://doi.org/10.1145/3484246,2022,journal-article,,Characterization and Detection of Android Malware | Automated Software Testing Techniques | Network Intrusion Detection and Defense Mechanisms | Machine Learning for Internet Traffic Classification | Digital Forensics Research and Challenges,,Doina Bucur | Jeroen van der Ham,DMB,True,True,True,,Doina Bucur | Sebastian Panman de Wit | Jeroen van der Ham,,True,gold,True,True,,,https://doi.org/10.1145/3484246,https://dl.acm.org/doi/pdf/10.1145/3484246,https://doi.org/10.1145/3484246,https://dl.acm.org/doi/pdf/10.1145/3484246,https://arxiv.org/abs/2107.11167 | https://arxiv.org/pdf/2107.11167 | https://research.utwente.nl/en/publications/3a55658f-4399-4e90-a005-aaae18b99990 | https://ris.utwente.nl/ws/files/275925009/2107.11167v1.pdf | http://arxiv.org/abs/2107.11167 | http://arxiv.org/pdf/2107.11167,https://openalex.org/W3198885958,https://research.utwente.nl/en/publications/3a55658f-4399-4e90-a005-aaae18b99990,https://ris.utwente.nl/ws/files/275925009/2107.11167v1.pdf,,,Digital threats,2576-5337,2692-1626,Association for Computing Machinery (ACM),3,2,1-24,24,,https://openalex.samuelmok.cc/paper/29599,https://openalex.samuelmok.cc/api/paper/29599,https://openalex.samuelmok.cc/api/pureentry/81793,https://openalex.samuelmok.cc/api/pilotpure/9353
For a Few Dollars More: Verified Fine-Grained Algorithm Analysis Down to LLVM,https://doi.org/10.1145/3486169,2022,journal-article,,Parallel Computing and Performance Optimization | Program Analysis and Verification Techniques | Text Compression and Indexing Algorithms | Formal Methods in Software Verification and Control | Automated Software Testing Techniques,,Peter Lammich,FMT,True,False,True,,Peter Lammich | Maximilian P. L. Haslbeck,,True,bronze,True,True,,,https://doi.org/10.1145/3486169,https://dl.acm.org/doi/pdf/10.1145/3486169,https://doi.org/10.1145/3486169,https://dl.acm.org/doi/pdf/10.1145/3486169,https://research.utwente.nl/en/publications/9f2882bf-66f8-4256-b6a4-67d35f4c63fe | https://ris.utwente.nl/ws/files/297739784/3486169.pdf,https://openalex.org/W4213447153,https://research.utwente.nl/en/publications/9f2882bf-66f8-4256-b6a4-67d35f4c63fe,https://ris.utwente.nl/ws/files/297739784/3486169.pdf,,,ACM Transactions on Programming Languages and Systems,0164-0925,1558-4593,Association for Computing Machinery (ACM),44,3,1-36,36,,https://openalex.samuelmok.cc/paper/29601,https://openalex.samuelmok.cc/api/paper/29601,https://openalex.samuelmok.cc/api/pureentry/80701,https://openalex.samuelmok.cc/api/pilotpure/8928
Performative prototyping in collaborative mixed reality environments: an embodied design method for ideation and development in virtual reality.,https://doi.org/10.1145/3490149.3501316,2022,proceedings-article,9781450391474,Virtual Presence and Embodiment in VR Research | User Experience and Design Research in HCI | Augmented Reality and its Applications | Informal Learning in Museums and Science Centers | Neuroaesthetics and Aesthetic Perception in Neuroscience,,Joris Weijdom,HMI,True,False,True,Joris Weijdom,Joris Weijdom,,True,bronze,True,True,,,https://doi.org/10.1145/3490149.3501316,https://dl.acm.org/doi/pdf/10.1145/3490149.3501316,https://doi.org/10.1145/3490149.3501316,https://dl.acm.org/doi/pdf/10.1145/3490149.3501316,https://research.utwente.nl/en/publications/4c4f64dd-644c-4953-b15a-f16659a4094f | https://ris.utwente.nl/ws/files/277373898/Weijdom_2022_Performative_prototyping_in_collabo.pdf,https://openalex.org/W4210982769,https://research.utwente.nl/en/publications/4c4f64dd-644c-4953-b15a-f16659a4094f,https://ris.utwente.nl/ws/files/277373898/Weijdom_2022_Performative_prototyping_in_collabo.pdf,,,,,,,,,,,,https://openalex.samuelmok.cc/paper/29607,https://openalex.samuelmok.cc/api/paper/29607,https://openalex.samuelmok.cc/api/pureentry/82734,https://openalex.samuelmok.cc/api/pilotpure/9275
"SixFeet: An Interactive, Corona-Safe, Multiplayer Sports Platform",https://doi.org/10.1145/3490149.3505570,2022,proceedings-article, 9781450391474,Virtual Presence and Embodiment in VR Research | User Experience and Design Research in HCI | Gamification in Education and Learning,,Dees Postma | Champika Ranasinghe | Dennis Reidsma,DMB | HMI,True,True,True,,Annabelle de Ruiter | Dees Postma | Champika Ranasinghe | Dennis Reidsma,,True,green,True,True,,,https://doi.org/10.1145/3490149.3505570,,https://research.utwente.nl/en/publications/0e60b4af-60a1-4ade-b74b-937bc859f133,https://ris.utwente.nl/ws/files/279493631/Postma2022sixfeet.pdf,,https://openalex.org/W4211206381,https://research.utwente.nl/en/publications/0e60b4af-60a1-4ade-b74b-937bc859f133,https://ris.utwente.nl/ws/files/279493631/Postma2022sixfeet.pdf,http://www.scopus.com/inward/record.url?scp=85124944972&partnerID=8YFLogxK,,,,,,,,,,,https://openalex.samuelmok.cc/paper/29609,https://openalex.samuelmok.cc/api/paper/29609,https://openalex.samuelmok.cc/api/pureentry/82735,https://openalex.samuelmok.cc/api/pilotpure/9234
Gr!pp: Integrating Activities of Daily Living into Hand Rehabilitation,https://doi.org/10.1145/3490149.3505572,2022,proceedings-article,9781450391474,Principles and Interventions in Stroke Rehabilitation | Eye Tracking in Human-Computer Interaction | Virtual Presence and Embodiment in VR Research,,Juliet Albertina Maria Haarman | Armağan Karahanoglu | Kostas Nizamis,HMI,True,False,True,,Juliet Albertina Maria Haarman | Armağan Karahanoglu | Kostas Nizamis | Floor Stefess,,True,green,True,True,,,https://doi.org/10.1145/3490149.3505572,,https://research.utwente.nl/en/publications/376f1f5f-9f79-4c50-b542-df905d6eefa5,https://ris.utwente.nl/ws/files/277334526/3490149.3505572.pdf,,https://openalex.org/W4211016986,https://research.utwente.nl/en/publications/376f1f5f-9f79-4c50-b542-df905d6eefa5,https://ris.utwente.nl/ws/files/277334526/3490149.3505572.pdf,http://www.scopus.com/inward/record.url?scp=85124970893&partnerID=8YFLogxK,,,,,,,,,,,https://openalex.samuelmok.cc/paper/29610,https://openalex.samuelmok.cc/api/paper/29610,https://openalex.samuelmok.cc/api/pureentry/82733,https://openalex.samuelmok.cc/api/pilotpure/9277
Physicalizing Sustainable Development Goals Data: An Example with SDG 7 (Affordable and Clean Energy),https://doi.org/10.1145/3491101.3519638,2022,proceedings-article, 9781450391566,User Experience and Design Research in HCI | Information Visualization and Visual Data Mining | Energy Consumption in Mobile Devices and Networks,,Nacir Bouali | Champika Ranasinghe,DMB,True,True,True,,Nacir Bouali | Champika Ranasinghe | Rick van Loenhout | Auriol Degbelo,,True,bronze,True,True,,,https://doi.org/10.1145/3491101.3519638,https://dl.acm.org/doi/pdf/10.1145/3491101.3519638,https://doi.org/10.1145/3491101.3519638,https://dl.acm.org/doi/pdf/10.1145/3491101.3519638,https://research.utwente.nl/en/publications/1b4a5d3e-05a9-4bca-8fa0-6ccdfd22d04b | https://ris.utwente.nl/ws/files/279493583/VanLoenhout2022physicalizing.pdf,https://openalex.org/W4225135462,https://research.utwente.nl/en/publications/1b4a5d3e-05a9-4bca-8fa0-6ccdfd22d04b,https://ris.utwente.nl/ws/files/279493583/VanLoenhout2022physicalizing.pdf,,,CHI Conference on Human Factors in Computing Systems Extended Abstracts,,,,,,,,,https://openalex.samuelmok.cc/paper/29612,https://openalex.samuelmok.cc/api/paper/29612,https://openalex.samuelmok.cc/api/pureentry/82181,https://openalex.samuelmok.cc/api/pilotpure/9235
"It’s Complicated: The Relationship between User Trust, Model Accuracy and Explanations in AI",https://doi.org/10.1145/3495013,2022,journal-article,,Explainable Artificial Intelligence | Adversarial Robustness in Deep Learning Models | Ethical Implications of Artificial Intelligence | Time Series Forecasting Methods | Artificial Intelligence in Medicine,,Gwenn Englebienne | Andrea Papenmeier | Christin Seifert,DMB | HMI,True,True,True,,Gwenn Englebienne | Andrea Papenmeier | Christin Seifert | Dagmar Kern,,True,bronze,False,False,,,https://doi.org/10.1145/3495013,https://dl.acm.org/doi/pdf/10.1145/3495013,https://doi.org/10.1145/3495013,https://dl.acm.org/doi/pdf/10.1145/3495013,,https://openalex.org/W4220693086,,,,,ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,,29,4,1-33,33,,https://openalex.samuelmok.cc/paper/29618,https://openalex.samuelmok.cc/api/paper/29618,,
Have a Clue! The Effect of Visual Cues on Children’s Search Behavior in the Classroom,https://doi.org/10.1145/3498366.3505845,2022,proceedings-article,978-1-4503-9186-3,Impact of Emoticons on Computer-Mediated Communication | The Spread of Misinformation Online | Impact of Media on Children's Development,,Theo Huibers,HMI,True,False,True,,Theo Huibers | Monica Landoni | Mohammad Aliannejadi | Emiliana Murgia | Maria Soledad Pera,,False,closed,False,True,,,https://doi.org/10.1145/3498366.3505845,,,,,https://openalex.org/W4220816331,https://research.utwente.nl/en/publications/67561366-d424-44da-99d6-651d7114099a,https://ris.utwente.nl/ws/files/294450215/3498366.3505845.pdf,http://www.scopus.com/inward/record.url?scp=85127427155&partnerID=8YFLogxK,,,,,,,,,,,https://openalex.samuelmok.cc/paper/29619,https://openalex.samuelmok.cc/api/paper/29619,https://openalex.samuelmok.cc/api/pureentry/82500,https://openalex.samuelmok.cc/api/pilotpure/9039
6th KidRec Workshop: Information Retrieval Systems for Children in the COVID-19 Era,https://doi.org/10.1145/3501712.3536387,2022,proceedings-article,978-1-4503-9197-9,,,Theo Huibers,HMI,True,False,True,,Theo Huibers | Monica Landoni | Jerry Alan Fails | Emiliana Murgia | Maria Soledad Pera,,False,closed,False,True,,,https://doi.org/10.1145/3501712.3536387,,,,,https://openalex.org/W4283457796,https://research.utwente.nl/en/publications/68ad8de2-f3f3-4400-93e4-1b0b335546aa,https://ris.utwente.nl/ws/files/294448936/3501712.3536387.pdf,http://www.scopus.com/inward/record.url?scp=85134180925&partnerID=8YFLogxK,,Interaction Design and Children,,,,,,,,,https://openalex.samuelmok.cc/paper/29620,https://openalex.samuelmok.cc/api/paper/29620,https://openalex.samuelmok.cc/api/pureentry/81565,https://openalex.samuelmok.cc/api/pilotpure/9040
An Empirical View on Consolidation of the Web,https://doi.org/10.1145/3503158,2022,journal-article,,Content-Centric Networking for Information Delivery | Scalable Peer-to-Peer Network Architectures | Web Data Extraction and Crawling Techniques | Delay-Tolerant Networking in Mobile Ad Hoc Networks | Detection and Prevention of Phishing Attacks,,Roland van Rijswijk-Deij,DACS,True,True,True,,Roland van Rijswijk-Deij | Vaibhav Bajpai | Trinh Viet Doan | Oliver Hohlfeld,,True,green,True,True,,,https://doi.org/10.1145/3503158,,https://research.utwente.nl/en/publications/2377569d-8268-465c-9c56-9227d0c2598d,https://ris.utwente.nl/ws/files/276634122/3503158.pdf,,https://openalex.org/W4211053822,https://research.utwente.nl/en/publications/2377569d-8268-465c-9c56-9227d0c2598d,https://ris.utwente.nl/ws/files/276634122/3503158.pdf,,,ACM Transactions on Internet Technology,1533-5399,1557-6051,Association for Computing Machinery (ACM),22,3,1-30,30,,https://openalex.samuelmok.cc/paper/29622,https://openalex.samuelmok.cc/api/paper/29622,https://openalex.samuelmok.cc/api/pureentry/81210,https://openalex.samuelmok.cc/api/pilotpure/9312
Considerations for (Teaching) Facilitator Roles for Movement-Based Design,https://doi.org/10.1145/3505270.3558315,2022,proceedings-article,9781450392112,,,Dennis Reidsma | Robby van Delden | Joris Weijdom,HMI,True,False,True,,Dennis Reidsma | Robby van Delden | Joris Weijdom | Rasmus Vestergaard Andersen | Lars Elbæk | René Engelhardt Hansen | Lærke Schjødt Rasmussen,,True,green,True,True,,,https://doi.org/10.1145/3505270.3558315,,https://research.utwente.nl/en/publications/57898db7-c6c9-451c-8de7-cfbedb36b75c,https://research.utwente.nl/files/292206053/3505270.3558315.pdf,,https://openalex.org/W4308374352,https://research.utwente.nl/en/publications/57898db7-c6c9-451c-8de7-cfbedb36b75c,https://ris.utwente.nl/ws/files/292206053/3505270.3558315.pdf,http://www.scopus.com/inward/record.url?scp=85143155446&partnerID=8YFLogxK,,,,,,,,,,,https://openalex.samuelmok.cc/paper/29624,https://openalex.samuelmok.cc/api/paper/29624,https://openalex.samuelmok.cc/api/pureentry/80138,https://openalex.samuelmok.cc/api/pilotpure/9069
